,User,Day in Study,Time of Day,Brush Time,Day Type,Proportion Brushed In Past 7 Days
361,P2_021,13,1,116.0,1,0.6428571428571429
362,P2_021,14,0,128.0,1,0.6428571428571429
363,P2_021,14,1,56.0,1,0.7142857142857143
364,P2_021,15,0,0.0,0,0.7142857142857143
365,P2_021,15,1,131.0,0,0.6428571428571429
366,P2_021,16,0,86.0,0,0.6428571428571429
367,P2_021,16,1,0.0,0,0.6428571428571429
368,P2_021,17,0,90.0,0,0.6428571428571429
369,P2_021,17,1,0.0,0,0.7142857142857143
370,P2_021,18,0,106.0,0,0.6428571428571429
371,P2_021,18,1,0.0,0,0.6428571428571429
372,P2_021,19,0,0.0,0,0.6428571428571429
373,P2_021,19,1,0.0,0,0.5714285714285714
374,P2_021,20,0,0.0,1,0.5714285714285714
375,P2_021,20,1,0.0,1,0.5
376,P2_021,21,0,119.0,1,0.42857142857142855
377,P2_021,21,1,0.0,1,0.42857142857142855
378,P2_021,22,0,0.0,0,0.35714285714285715
379,P2_021,22,1,0.0,0,0.35714285714285715
380,P2_021,23,0,0.0,0,0.2857142857142857
381,P2_021,23,1,191.0,0,0.21428571428571427
382,P2_021,24,0,114.0,0,0.2857142857142857
383,P2_021,24,1,143.0,0,0.2857142857142857
384,P2_021,25,0,37.0,0,0.35714285714285715
385,P2_021,25,1,0.0,0,0.35714285714285715
386,P2_021,26,0,69.0,0,0.35714285714285715
387,P2_021,26,1,0.0,0,0.42857142857142855
388,P2_021,27,0,0.0,1,0.42857142857142855
389,P2_021,27,1,0.0,1,0.42857142857142855
390,P2_021,28,0,0.0,1,0.42857142857142855
391,P2_021,28,1,0.0,1,0.35714285714285715
392,P2_022,1,0,127.0,0,0.0
393,P2_022,1,1,159.0,0,0.0
394,P2_022,2,0,153.0,0,0.0
395,P2_022,2,1,148.0,0,0.0
396,P2_022,3,0,122.0,0,0.0
397,P2_022,3,1,156.0,0,0.0
398,P2_022,4,0,141.0,0,0.0
399,P2_022,4,1,0.0,0,0.0
400,P2_022,5,0,125.0,0,0.0
401,P2_022,5,1,107.0,0,0.0
402,P2_022,6,0,134.0,1,0.0
403,P2_022,6,1,0.0,1,0.0
404,P2_022,7,0,156.0,1,0.0
405,P2_022,7,1,18.0,1,0.0
406,P2_022,8,0,0.0,0,0.8571428571428571
